央视频道,#genre#
新闻综合,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=ystenlive&Contentid=7487426726248458200&livemode=1&stbId=A
都市频道,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=ystenlive&Contentid=6789517052815334336&livemode=1&stbId=A
第一财经,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=ystenlive&Contentid=6617141658685778844&livemode=1&stbId=A
法制天地,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=ystenlive&Contentid=9001547084732463424&livemode=1&stbId=A
东方财经,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=ystenlive&Contentid=7061949425579508455&livemode=1&stbId=A
都市剧场,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=ystenlive&Contentid=6458566386506430130&livemode=1&stbId=A
动漫秀场,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=ystenlive&Contentid=9072176337701960899&livemode=1&stbId=A
七彩戏剧,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=ystenlive&Contentid=5379866194427087552&livemode=1&stbId=A
纪实频道HD,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=ystenlive&Contentid=7081356299464623208&livemode=1&stbId=A
极速汽车,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=ystenlive&Contentid=6674152167754937164&livemode=1&stbId=A
哈哈炫动,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=ystenlive&Contentid=7253543213338128343&livemode=1&stbId=A
ICS,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=ystenlive&Contentid=6032059665143203976&livemode=1&stbId=A
纪实人文,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=ystenlive&Contentid=1000000001000010606&livemode=1&stbId=A
纪实人文,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=ystenlive&Contentid=1000000001000016545&livemode=1&stbId=A
生活时尚,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=ystenlive&Contentid=8538616372715313491&livemode=1&stbId=A
欢笑剧场,http://112.50.243.8:80/PLTV/88888888/224/3221226729/1.m3u8
欢笑剧场,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=ystenlive&Contentid=6550198305014687851&livemode=1&stbId=A
﻿
热爱电视,#genre#
i Hot愛奇談,http://101.71.255.229:6610/zjhs/2/10103/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
i Hot愛懸疑,http://101.71.255.229:6610/zjhs/2/10104/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
i Hot愛喜劇,http://101.71.255.229:6610/zjhs/2/10105/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
i Hot愛經典,http://101.71.255.229:6610/zjhs/2/10106/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
